id,name
1,Q9UI32
2,P00488
3,P35228
4,P06737
5,P11766
6,P50213
7,P30542
8,P00519
9,P12319
10,P00451
11,P23219
12,P35626
13,P21728
14,P35916
15,P51168
16,P02452
17,Q9H4B7
18,P56181
19,P17948
20,Q9UPY5
21,P06213
22,P04049
23,Q9Y285
24,Q9Y234
25,P12259
26,P24530
27,P20309
28,P30613
29,P00734
30,P30273
31,P13716
32,P48167
33,P21554
34,P30556
35,P34995
36,P10515
37,P11836
38,P29475
39,P07195
40,Q07869
41,P51843
42,P10912
43,P00492
44,P28702
45,P12277
46,Q13639
47,P02792
48,P14618
49,Q12809
50,P11229
51,O75380
52,P34972
53,Q15800
54,P11177
55,P17707
56,O76082
57,P13688
58,P51606
59,Q9H244
60,P21673
61,P25021
62,P06746
63,P09622
64,P07741
65,Q05940
66,O95477
67,P17752
68,P03372
69,P08700
70,Q04828
71,P31937
72,P24046
73,P69905
74,P10275
75,P05091
76,P22888
77,P49419
78,P19404
79,P09172
80,Q9Y4W6
81,Q9UHW9
82,P07437
83,P13631
84,P21918
85,Q9H3N8
86,P36888
87,P23368
88,P51649
89,O00180
90,Q9NYK1
91,Q99720
92,P00387
93,O43175
94,Q02218
95,P15692
96,P37288
97,P49916
98,P12532
99,P08588
100,Q9Y5Y9
101,P36021
102,P00367
103,O76074
104,P48637
105,P07814
106,Q8WTV0
107,P37088
108,P14061
109,Q14524
110,Q15046
111,P18858
112,Q13564
113,P30968
114,P09619
115,P10826
116,Q09428
117,P21695
118,P00747
119,P56556
120,P37231
121,P00742
122,Q9UBS5
123,P08243
124,P16083
125,P12821
126,P26640
127,O15239
128,P07327
129,P23381
130,P54710
131,P55157
132,P26639
133,Q15758
134,P06858
135,P05121
136,P29275
137,P10109
138,O96000
139,P10415
140,P08912
141,P09917
142,P30531
143,P00491
144,P14679
145,P80404
146,Q9Y478
147,P10745
148,O76054
149,P15291
150,P49902
151,P35354
152,P29474
153,Q04771
154,P08473
155,Q08828
156,P00797
157,Q16773
158,P07766
159,Q96GD0
160,P01008
161,P55011
162,O43676
163,Q99624
164,P05089
165,P08913
166,P08908
167,P30518
168,P49588
169,Q13258
170,Q00796
171,P09455
172,P31153
173,P00480
174,O75251
175,O14727
176,P46098
177,P10828
178,P21549
179,Q99714
180,P47872
181,Q9NRX3
182,Q8IVH4
183,P49915
184,P00918
185,P35520
186,P04818
187,P23921
188,P08620
189,P49286
190,P00374
191,P34896
192,P08709
193,O75438
194,P25098
195,P18825
196,P05093
197,P16471
198,P39086
199,P50440
200,Q9NR19
201,P19801
202,P78348
203,Q96I99
204,O00555
205,P63098
206,O95907
207,Q05586
208,P43116
209,P35968
210,Q969G6
211,P54368
212,Q14749
213,P48029
214,Q16836
215,Q8IVA8
216,P49069
217,P04070
218,P00505
219,P25103
220,P48551
221,P23945
222,P21917
223,P60880
224,P41595
225,P08246
226,O15399
227,P26440
228,P02794
229,O95182
230,P32238
231,P38435
232,P11926
233,P08173
234,P50416
235,P51659
236,Q5JAM2
237,P17540
238,P19793
239,O15554
240,Q14626
241,Q13224
242,P62158
243,P55017
244,P41143
245,P04083
246,P04181
247,P22303
248,P31749
249,Q13936
250,P30988
251,P42684
252,P08514
253,O15269
254,P29466
255,O15427
256,Q9UIC8
257,P28223
258,P30872
259,P10721
260,Q14957
261,Q96EY8
262,P22413
263,P37023
264,P30939
265,Q99460
266,O95665
267,P00326
268,P38484
269,O60706
270,Q13200
271,Q16718
272,P43119
273,Q16739
274,P48169
275,P43007
276,Q03154
277,O43497
278,P49821
279,P23975
280,Q07343
281,P15382
282,P16473
283,P05165
284,P28331
285,Q9Y5K3
286,P51172
287,P51170
288,P01130
289,P35348
290,Q13621
291,P03886
292,P07202
293,P41180
294,P02787
295,P04626
296,P48039
297,P20701
298,P54687
299,O75600
300,P04424
301,P25101
302,P40394
303,P34903
304,Q9P0J0
305,Q15274
306,P47871
307,Q12797
308,P17174
309,O14646
310,P28335
311,O60391
312,P22748
313,P02671
314,P09417
315,P04406
316,P09884
317,P22891
318,Q12791
319,P00352
320,P16066
321,P06401
322,O43837
323,P08172
324,P14778
325,Q92781
326,P08559
327,P18089
328,P04035
329,P35368
330,O43772
331,P35462
332,Q08426
333,P30519
334,P40925
335,P13612
336,P42330
337,P30043
338,Q9Y6M9
339,P06126
340,P12235
341,Q9UP95
342,Q5VZ30
343,Q9UKU7
344,O43776
345,O95865
346,P29803
347,P43088
348,P07101
349,P49585
350,P11586
351,P23378
352,P18031
353,P12236
354,Q02643
355,Q13085
356,P15509
357,P68871
358,Q9Y233
359,P41145
360,P15056
361,P30085
362,P42261
363,Q8TCU5
364,P08253
365,P48048
366,O60701
367,Q01959
368,P00390
369,P34969
370,P14784
371,P19235
372,P19429
373,P47712
374,P01589
375,P28221
376,O15270
377,P17181
378,P10276
379,P36896
380,Q9NYX4
381,P08235
382,P53985
383,Q5T6L4
384,P51787
385,Q9UG56
386,P20138
387,Q16671
388,O95169
389,Q13131
390,Q16515
391,P16233
392,P10827
393,O14842
394,P05230
395,P07550
396,P62942
397,P11498
398,P49589
399,O00763
400,O95342
401,P01375
402,P48443
403,Q14654
404,P05141
405,P12314
406,P15260
407,P06732
408,P25100
409,Q14181
410,Q03405
411,P30838
412,P06729
413,O15382
414,P12268
415,P02818
416,P14868
417,Q96C36
418,P15538
419,P05023
420,Q99707
421,P09601
422,P30536
423,P09622
424,Q15822
425,P21817
426,P12081
427,P11388
428,P23416
429,P15121
430,P21802
431,P31645
432,O43681
433,P01178
434,P19634
435,P49448
436,P14416
437,Q9H015
438,P78540
439,P21731
440,Q9UBK8
441,P00533
442,Q9P2J5
443,P35372
444,P51553
445,Q07912
446,P47901
447,O43741
448,P05546
449,P14324
450,P22033
451,P11473
452,P40926
453,Q09470
454,P12271
455,Q5T6L4
456,Q9UHI5
457,P32929
458,Q92731
459,Q99062
460,P04150
461,P14867
462,P28222
463,P09488
464,P21266
465,O15217
466,Q03013
467,P09211
468,P78417
469,P18283
470,O43708
471,Q13255
472,O94925
473,Q13002
474,Q16099
475,Q16478
476,P42262
477,P48058
478,P42263
479,Q13003
480,Q14833
481,Q14831
482,O00222
483,O43451
484,P12931
485,P06241
486,P07947
487,P29317
488,P06239
489,P30559
490,Q93088
491,P42081
492,P33681
493,Q01718
494,P43681
495,P17787
496,P16234
497,P07333
498,P27487
499,P01031
500,O60664
501,P43220
502,P08069
503,O60894
504,O60895
505,O60896
506,O95180
507,P14770
508,Q7Z4W1
509,Q02750
510,Q14289
511,P05771
512,P17812
513,P10253
514,Q9NSA0
515,P29972
516,Q9UKV0
517,P22102
518,P43004
519,Q99584
520,Q06520
521,P16410
522,P19440
523,Q00535
524,P51692
525,P26358
526,P10144
527,P00749
528,P10696
529,O43526
530,P49747
531,O95237
532,O75015
533,P20810
534,P30044
535,P35270
536,P01023
537,P51681
538,P05451
539,Q99519
540,P08581
541,P11217
542,P62993
543,P05231
544,P61073
545,P03956
546,P28482
547,P29274
548,P01574
549,P25116
550,P08174
551,P27169
552,P52961
553,P02760
554,P02778
555,O60494
556,P07858
557,P48067
558,P07339
559,P98164
560,P07225
561,P01579
562,P50406
563,P02775
564,P01189
565,P20333
566,P34913
567,P49888
568,P01009
569,P01133
570,P27986
571,O75469
572,P06730
573,P16220
574,P49327
575,Q04760
576,P52788
577,O95831
578,P45452
579,P10646
580,P05120
581,P17936
582,P11387
583,P08236
584,P17405
585,Q14416
586,P13501
587,P35568
588,P04062
589,P16860
590,P29074
591,P29460
592,Q9BYF1
593,O14732
594,P01137
595,P35222
596,P32418
597,P56817
598,O14965
599,Q99497
600,Q7L0J3
601,P02788
602,P21462
603,P20594
604,P41250
605,Q9Y275
606,Q16853
607,Q00987
608,P31930
609,Q03181
610,P47929
611,P99999
612,P08311
613,P27824
614,P13945
615,P09038
616,Q13464
617,Q16539
618,O60882
619,P03951
620,P08107
621,Q8NER1
622,P63316
623,P07359
624,P06850
625,P24385
626,P48549
627,P60568
628,P48051
629,P98160
630,P08183
631,P22830
632,Q02817
633,P21980
634,P26951
635,P23946
636,P04629
637,P05412
638,P05107
639,P04275
640,P11168
641,P15502
642,P13500
643,P01584
644,P43005
645,P30793
646,P35557
647,P27361
648,P49841
649,Q4U2R8
650,P04004
651,Q92887
652,P61278
653,Q06124
654,P16581
655,P05164
656,P01112
657,P15144
658,P59768
659,P06493
660,P80188
661,P05362
662,P19838
663,P01374
664,P00750
665,P11413
666,P23297
667,P06870
668,O95573
669,P01138
670,P17302
671,P21589
672,A6NG28
673,P11021
674,P11137
675,P07949
676,P04156
677,P35247
678,P19367
679,P63000
680,P17213
681,P16070
682,P19320
683,P43003
684,P08254
685,Q16873
686,P02649
687,P07900
688,P14210
689,P16870
690,Q08345
691,P01100
692,Q13126
693,P02776
694,Q07837
695,Q14500
696,P17252
697,P27815
698,P19438
699,P00450
700,P53609
701,P22061
702,P16455
703,P48745
704,P16444
705,P49366
706,P48061
707,P07204
708,P29218
709,P07686
710,O14920
711,P05106
712,P98170
713,P32239
714,P16109
715,Q9UNN8
716,P42574
717,O60603
718,P14625
719,O60760
720,P45844
721,P78559
722,P07355
723,Q9NR96
724,P31751
725,P00167
726,P07602
727,P14410
728,P04271
729,P13726
730,P03950
731,P22894
732,P14735
733,P15559
734,Q08257
735,P28161
736,P61586
737,P25815
738,P41594
739,O15530
740,P13569
741,P39900
742,P06744
743,P08100
744,P22455
745,Q99808
746,P80511
747,P05113
748,P68400
749,P24941
750,P02743
751,Q96C86
752,Q13370
753,P31939
754,Q10588
755,Q9P2W7
756,O75874
757,P04183
758,P00568
759,O00204
760,Q08188
761,P68363
762,P11309
763,Q9H4M7
764,P08519
765,Q06187
766,Q08499
767,Q9NP99
768,Q9UN19
769,P10153
770,P43403
771,P48736
772,P43405
773,Q9BWD1
774,Q71U36
775,Q08881
776,P17931
777,P41240
778,Q9NY65
779,P68371
780,P49137
781,P36959
782,Q04759
783,Q9BQE3
784,P68366
785,P30405
786,P04350
787,Q13509
788,P08631
789,Q13748
790,Q16222
791,P17900
792,P36873
793,P01024
794,P49773
795,P20231
796,Q9BZX2
797,P30419
798,Q9UBX1
799,Q00169
800,Q9NPB1
801,P09871
802,P50579
803,P49247
804,P46926
805,P35030
806,Q13426
807,Q92876
808,Q9Y678
809,P55055
810,Q9BY41
